2026-04-27 11:05:34,609 | DEBUG | [REQ-2026-04-27-9384-0001] | -------------------------------------------------------------------------------------------
2026-04-27 11:05:34,609 | DEBUG | [REQ-2026-04-27-9384-0001] | 请求信息:
2026-04-27 11:05:34,609 | DEBUG | [REQ-2026-04-27-9384-0001] | ---request_url:---http://shop-xo.hctestedu.com/index.php?s=/api/goods/detail
2026-04-27 11:05:34,609 | DEBUG | [REQ-2026-04-27-9384-0001] | ---request_headers:---{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate, br', 'Accept': '*/*', 'Connection': 'keep-alive', 'application': 'web', 'application_client_type': 'PC', 'Content-Length': '17', 'Content-Type': 'application/json'}
2026-04-27 11:05:34,613 | DEBUG | [REQ-2026-04-27-9384-0001] | ---request_body:---b'{"goods_id": "1"}'
2026-04-27 11:05:34,613 | DEBUG | [REQ-2026-04-27-9384-0001] | ---request_cookies:---<RequestsCookieJar[<Cookie PHPSESSID=j9nq1p3f93ov66pvgl572fj0io for shop-xo.hctestedu.com/>]>
2026-04-27 11:05:34,613 | DEBUG | [REQ-2026-04-27-9384-0001] | ---request_method:---POST
2026-04-27 11:05:34,613 | DEBUG | [REQ-2026-04-27-9384-0001] | ---request_data:---{'goods_id': '1'}
2026-04-27 11:05:34,616 | DEBUG | [REQ-2026-04-27-9384-0001] | 响应信息:
2026-04-27 11:05:34,616 | DEBUG | [REQ-2026-04-27-9384-0001] | ---response_code:---200
2026-04-27 11:05:34,616 | DEBUG | [REQ-2026-04-27-9384-0001] | ---response_headers:---{'Server': 'nginx', 'Date': 'Mon, 27 Apr 2026 03:05:33 GMT', 'Content-Type': 'application/json; charset=utf-8', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Vary': 'Accept-Encoding', 'Set-Cookie': 'PHPSESSID=j9nq1p3f93ov66pvgl572fj0io; path=/; HttpOnly', 'Expires': 'Thu, 19 Nov 1981 08:52:00 GMT', 'Cache-Control': 'no-store, no-cache, must-revalidate', 'Pragma': 'no-cache', 'Content-Encoding': 'gzip'}
